Operon,Gene,Strand,CDS_start,CDS_end,Gene number,TS,PS,cPS,uPS,iPS,Pattern,,,,,,,,
59,Ccel_0113,+,129173,129985,1,,0,0,0,0,,,,,,,,,
60,Ccel_0114,+,130032,131576,1,,0,0,0,0,,,,,,,,,
61,Ccel_0115,+,131573,132532,1,,0,0,0,0,,,,,,,,,
62,"Ccel_0116,Ccel_0117",+,132558,133843,2,,0,0,0,0,Down,,,,,,,,
63,Ccel_0118,+,133868,134035,1,,0,0,0,0,,,,,,,,,
64,"Ccel_0119,Ccel_0120",+,134069,134674,2,,0,0,0,0,Flat,,,,,,,,
65,Ccel_0121,+,134694,135332,1,,0,0,0,0,,,,,,,,,
66,Ccel_0122,+,135466,136335,1,,0,0,0,0,,,,,,,,,
67,"Ccel_0123,Ccel_0124,Ccel_0125",+,136430,140657,3,136369,0,0,0,0,Complex,,,,,,,,
68,"Ccel_0126,Ccel_0127,Ccel_0128",+,140802,143781,3,,0,0,0,0,Up,,,,,,,,
69,Ccel_0129,-,144201,145052,1,,0,0,0,0,,,,,,,,,
70,Ccel_0130,+,145290,145556,1,,0,0,0,0,,,,,,,,,
71,Ccel_0131,+,145600,146424,1,,0,0,0,0,,,,,,,,,
72,Ccel_0132,+,146462,149143,1,,0,0,0,0,,,,,,,,,
73,"Ccel_0133,Ccel_0134,Ccel_0135,Ccel_0136",+,149283,152189,4,149257,0,0,0,0,Up,,,,,,,,
74,Ccel_0137,+,152422,153354,1,152402,0,0,0,0,,,,,,,,,
75,Ccel_0138,+,153543,154718,1,153428,0,0,0,0,,,,,,,,,
76,"Ccel_0139,Ccel_0140,Ccel_0141",+,155053,159869,3,,0,0,0,0,Up,,,,,,,,
77,Ccel_0142,-,159948,162230,1,,0,0,0,0,,,,,,,,,
78,"Ccel_0143,Ccel_0144,Ccel_0145",+,162607,166110,3,,0,0,0,0,Complex,,,,,,,,
79,"Ccel_0146,Ccel_0147,Ccel_0148,Ccel_0149",+,166531,172407,4,,0,0,0,0,Complex,,,,,,,,
80,"Ccel_0150,Ccel_0151,Ccel_0152,Ccel_0153",+,172536,177484,4,172484,0,0,0,0,Complex,,,,,,,,
81,Ccel_0154,+,177659,180751,1,,0,0,0,0,,,,,,,,,
82,"Ccel_0155,Ccel_0156,Ccel_0157,Ccel_0158,Ccel_0159,Ccel_0160",+,180862,185732,6,,0,0,0,0,Complex,,,,,,,,
83,"Ccel_0161,Ccel_0162,Ccel_0163",+,185841,187692,3,185722,0,0,0,0,Complex,,,,,,,,
84,Ccel_0164,-,187761,188000,1,188046,0,0,0,0,,,,,,,,,
85,"Ccel_0165,Ccel_0166",+,188368,189501,2,,0,0,0,0,Up,,,,,,,,
86,Ccel_0167,-,189498,190556,1,,0,0,0,0,,,,,,,,,
87,"Ccel_0168,Ccel_0169",+,190808,192322,2,,0,0,0,0,Down,,,,,,,,
88,Ccel_0170,+,192562,193632,1,192527,0,0,0,0,,,,,,,,,
89,"Ccel_0171,Ccel_0172",+,193822,196132,2,,0,0,0,0,Down,,,,,,,,
90,"Ccel_0173,Ccel_0174",+,196207,197167,2,196187,0,0,0,0,Flat,,,,,,,,
91,"Ccel_0175,Ccel_0176,Ccel_0177,Ccel_0178",+,197310,203093,4,197294,0,0,0,0,Complex,,,,,,,,
92,"Ccel_0179,Ccel_0180,Ccel_0181",+,203169,205199,3,203123,1,1,0,0,Up,,,,,,,,
93,"Ccel_0182,Ccel_0183",-,205368,206996,2,,1,1,0,0,Up,,,,,,,,
94,Ccel_0184,-,207447,208730,1,,0,0,0,0,,,,,,,,,
95,Ccel_0185,-,209184,210080,1,,0,0,0,0,,,,,,,,,
96,"Ccel_0186,Ccel_0187,Ccel_0188,Ccel_0189,Ccel_0190,Ccel_0191,Ccel_0192,Ccel_0193",+,210243,216170,8,,0,0,0,0,Complex,,,,,,,,
97,Ccel_R0004,-,216405,216496,1,,0,0,0,0,,,,,,,,,
98,Ccel_0194,-,216647,217933,1,,0,0,0,0,,,,,,,,,
99,"Ccel_0195,Ccel_0196,Ccel_0197",+,218139,221310,3,,0,0,0,0,Up,,,,,,,,
100,"Ccel_0198,Ccel_0199",-,221322,224688,2,,0,0,0,0,Down,,,,,,,,
101,Ccel_0200,+,224941,226266,1,,0,0,0,0,,,,,,,,,
102,"Ccel_0201,Ccel_0202",+,226370,228105,2,,0,0,0,0,Flat,,,,,,,,
103,Ccel_0203,+,228204,230342,1,228160,0,0,0,0,,,,,,,,,
104,Ccel_0204,+,230494,231060,1,,0,0,0,0,,,,,,,,,
105,"Ccel_0205,Ccel_0206",+,231266,233488,2,,0,0,0,0,Down,,,,,,,,
106,Ccel_0207,+,233567,234145,1,,0,0,0,0,,,,,,,,,
107,Ccel_0208,+,234187,234987,1,,0,0,0,0,,,,,,,,,
108,Ccel_0209,+,235341,236771,1,,0,0,0,0,,,,,,,,,
109,Ccel_0210,+,236949,237908,1,236924,0,0,0,0,,,,,,,,,
110,Ccel_0211,-,237978,239078,1,,0,0,0,0,,,,,,,,,
111,Ccel_0212,+,239553,241346,1,,1,0,1,0,,,,,,,,,
112,"Ccel_0213,Ccel_0214",+,241577,243682,2,,0,0,0,0,Up,,,,,,,,
113,Ccel_0215,-,243756,245777,1,,0,0,0,0,,,,,,,,,
114,"Ccel_0216,Ccel_0217,Ccel_0218",+,246091,247857,3,,0,0,0,0,Up,,,,,,,,
115,Ccel_0219,+,248175,249629,1,,0,0,0,0,,,,,,,,,
116,Ccel_0220,-,249891,250937,1,,0,0,0,0,,,,,,,,,
117,Ccel_0221,-,251067,252752,1,,0,0,0,0,,,,,,,,,
118,"Ccel_0222,Ccel_0223,Ccel_0224",+,253238,255120,3,,0,0,0,0,Up,,,,,,,,
119,Ccel_R0005,+,255425,255513,1,255358,0,0,0,0,,,,,,,,,
120,Ccel_0225,-,255709,256338,1,256397,0,0,0,0,,,,,,,,,
121,Ccel_0226,-,257112,257546,1,257570,0,0,0,0,,,,,,,,,
122,"Ccel_0227,Ccel_0228",-,257627,258846,2,258865,0,0,0,0,Flat,,,,,,,,
123,Ccel_0229,+,259038,259604,1,258995,0,0,0,0,,,,,,,,,
124,Ccel_0230,+,259824,260300,1,,0,0,0,0,,,,,,,,,
125,Ccel_0231,+,260554,262701,1,260419,0,0,0,0,,,,,,,,,
126,Ccel_0232,-,263027,263401,1,,0,0,0,0,,,,,,,,,
127,Ccel_0233,+,263516,263986,1,263495,0,0,0,0,,,,,,,,,
128,"Ccel_0234,Ccel_0235,Ccel_0236",-,264063,266555,3,266606,0,0,0,0,Up,,,,,,,,
129,Ccel_0237,+,266778,267587,1,,0,0,0,0,,,,,,,,,
130,Ccel_0238,+,267707,267862,1,,0,0,0,0,,,,,,,,,
131,"Ccel_0239,Ccel_0240,Ccel_0241",+,267873,270435,3,,0,0,0,0,Up,,,,,,,,
132,Ccel_R0006,+,270950,271042,1,270756,0,0,0,0,,,,,,,,,
133,Ccel_0242,+,271206,272894,1,,0,0,0,0,,,,,,,,,
134,"Ccel_0243,Ccel_0244,Ccel_0245",+,272957,274076,3,,0,0,0,0,Up,,,,,,,,
135,"Ccel_0246,Ccel_0247",+,274123,276256,2,,0,0,0,0,Up,,,,,,,,
136,Ccel_0248,+,276341,277987,1,,0,0,0,0,,,,,,,,,
137,"Ccel_0249,Ccel_0250,Ccel_0251",+,278212,281650,3,,0,0,0,0,Complex,,,,,,,,
138,Ccel_0252,+,281804,283108,1,281755,0,0,0,0,,,,,,,,,
139,"Ccel_0253,Ccel_0254",+,283389,284995,2,,1,1,0,0,Up,,,,,,,,
140,"Ccel_0255,Ccel_0256,Ccel_0257,Ccel_0258",+,285258,288793,4,285142,0,0,0,0,Complex,,,,,,,,
141,"Ccel_0259,Ccel_0260,Ccel_0261,Ccel_0262",+,288872,292874,4,,0,0,0,0,Flat,,,,,,,,
142,"Ccel_0263,Ccel_0264",-,292994,294576,2,,0,0,0,0,Flat,,,,,,,,
143,"Ccel_0265,Ccel_0266,Ccel_0267,Ccel_0268,Ccel_0269,Ccel_0270,Ccel_0271,Ccel_0272,Ccel_0273",+,294828,301820,9,294776,5,1,0,4,Complex,,,,,,,,
144,"Ccel_0274,Ccel_0275",+,301963,306814,2,,0,0,0,0,Flat,,,,,,,,
145,"Ccel_0276,Ccel_0277,Ccel_0278,Ccel_0279,Ccel_0280",+,307041,319079,5,,0,0,0,0,Complex,,,,,,,,
146,Ccel_0281,+,319266,320291,1,,0,0,0,0,,,,,,,,,
147,Ccel_0282,+,320377,321168,1,,0,0,0,0,,,,,,,,,
148,"Ccel_0283,Ccel_0284,Ccel_0285",+,321360,324686,3,,0,0,0,0,Complex,,,,,,,,
149,Ccel_0286,-,324732,325658,1,,0,0,0,0,,,,,,,,,
150,Ccel_0287,-,325968,327662,1,327704,0,0,0,0,,,,,,,,,
151,"Ccel_0288,Ccel_0289,Ccel_0290",+,327909,333752,3,,0,0,0,0,Up,,,,,,,,
152,Ccel_0291,+,333929,335533,1,333833,0,0,0,0,,,,,,,,,
153,Ccel_0292,+,335773,336459,1,,0,0,0,0,,,,,,,,,
154,"Ccel_0293,Ccel_0294",+,336602,340148,2,,0,0,0,0,Up,,,,,,,,
155,"Ccel_0295,Ccel_0296,Ccel_0297,Ccel_0298,Ccel_0299",+,340452,346089,5,340342,3,1,0,2,Complex,,,,,,,,
156,"Ccel_0300,Ccel_0301",+,346181,348097,2,346158,0,0,0,0,Down,,,,,,,,
157,"Ccel_0302,Ccel_0303",+,348359,351747,2,348209,0,0,0,0,Flat,,,,,,,,
158,Ccel_0304,-,351792,353420,1,,0,0,0,0,,,,,,,,,
159,Ccel_0305,+,353647,353796,1,353562,0,0,0,0,,,,,,,,,
160,"Ccel_0306,Ccel_0307,Ccel_0308,Ccel_0309,Ccel_0310,Ccel_0311",+,353898,357256,6,,1,0,0,1,Complex,,,,,,,,
161,"Ccel_0312,Ccel_0313",+,357744,365010,2,,3,3,0,0,Flat,,,,,,,,
162,"Ccel_0314,Ccel_0315,Ccel_0316,Ccel_0317,Ccel_0318",+,365219,370126,5,365132,3,1,0,2,Up,,,,,,,,
163,"Ccel_0319,Ccel_0320",+,370295,371848,2,,0,0,0,0,Flat,,,,,,,,
164,Ccel_0321,+,372068,373258,1,,0,0,0,0,,,,,,,,,
165,"Ccel_0322,Ccel_0323",+,373484,375196,2,373347,0,0,0,0,Up,,,,,,,,
166,"Ccel_0324,Ccel_0325,Ccel_0326,Ccel_0327",+,375532,379994,4,375493,0,0,0,0,Up,,,,,,,,
167,"Ccel_0328,Ccel_0329,Ccel_0330,Ccel_0331,Ccel_0332",+,380199,383228,5,,1,0,0,1,Complex,,,,,,,,
168,Ccel_0333,-,383282,384544,1,,0,0,0,0,,,,,,,,,
169,Ccel_0334,-,384992,386275,1,,0,0,0,0,,,,,,,,,
170,"Ccel_0335,Ccel_0336",+,386508,389860,2,,0,0,0,0,Down,,,,,,,,
171,"Ccel_0337,Ccel_0338",+,389977,392226,2,,0,0,0,0,Down,,,,,,,,
172,Ccel_0339,-,392416,392811,1,392837,0,0,0,0,,,,,,,,,
173,"Ccel_0340,Ccel_0341,Ccel_0342,Ccel_0343",+,393148,397086,4,392977,0,0,0,0,Complex,,,,,,,,
174,Ccel_0344,-,397373,397879,1,,0,0,0,0,,,,,,,,,
175,Ccel_0345,+,398062,399498,1,,0,0,0,0,,,,,,,,,
176,Ccel_0346,+,399663,400448,1,,0,0,0,0,,,,,,,,,
177,"Ccel_0347,Ccel_0348,Ccel_0349,Ccel_0350",-,400581,404797,4,404865,0,0,0,0,Complex,,,,,,,,
178,"Ccel_0351,Ccel_0352",+,404956,406621,2,,0,0,0,0,Flat,,,,,,,,
179,Ccel_0353,+,406744,406863,1,,0,0,0,0,,,,,,,,,
180,Ccel_0354,+,407009,409165,1,406984,0,0,0,0,,,,,,,,,
181,Ccel_0355,+,409244,410131,1,409219,0,0,0,0,,,,,,,,,
182,"Ccel_0356,Ccel_0357,Ccel_0358",-,410128,411320,3,,0,0,0,0,Up,,,,,,,,
183,Ccel_0359,-,411480,411686,1,411706,0,0,0,0,,,,,,,,,
184,Ccel_0360,+,411861,412736,1,411826,0,0,0,0,,,,,,,,,
185,Ccel_0361,+,412913,414319,1,,0,0,0,0,,,,,,,,,
186,Ccel_0362,+,414453,415190,1,,0,0,0,0,,,,,,,,,
187,Ccel_0363,-,415298,415513,1,415528,0,0,0,0,,,,,,,,,
188,"Ccel_0364,Ccel_0365,Ccel_0366",+,415648,418471,3,,0,0,0,0,Complex,,,,,,,,
189,"Ccel_0367,Ccel_0368",+,418584,420555,2,,0,0,0,0,Flat,,,,,,,,
190,Ccel_0369,+,420696,420959,1,420639,0,0,0,0,,,,,,,,,
191,Ccel_0370,+,421335,421865,1,,0,0,0,0,,,,,,,,,
192,"Ccel_0371,Ccel_0372,Ccel_0373,Ccel_0374",+,422059,428303,4,422027,0,0,0,0,Complex,,,,,,,,
193,"Ccel_0375,Ccel_0376,Ccel_0377,Ccel_0378",+,428407,430457,4,,1,0,0,1,Complex,,,,,,,,
194,Ccel_0379,+,430768,432966,1,,0,0,0,0,,,,,,,,,
195,"Ccel_0380,Ccel_0381,Ccel_0382,Ccel_0383",+,433147,437509,4,,0,0,0,0,Complex,,,,,,,,
196,"Ccel_0384,Ccel_0385,Ccel_0386,Ccel_0387,Ccel_0388",+,437571,441229,5,,0,0,0,0,Down,,,,,,,,
197,"Ccel_0389,Ccel_0390",+,441310,443367,2,441274,0,0,0,0,Flat,,,,,,,,
198,"Ccel_0391,Ccel_0392",+,443580,445519,2,443498,0,0,0,0,Up,,,,,,,,
199,"Ccel_0393,Ccel_0394",+,445690,447811,2,445643,1,1,0,0,Up,,,,,,,,
200,Ccel_0395,+,448093,448569,1,,0,0,0,0,,,,,,,,,
201,"Ccel_0396,Ccel_0397,Ccel_0398,Ccel_0399,Ccel_0400",+,448698,452782,5,,1,0,0,1,Complex,,,,,,,,
202,Ccel_0401,+,452853,453287,1,452831,0,0,0,0,,,,,,,,,
203,"Ccel_R0007,Ccel_R0008,Ccel_R0009,Ccel_R0010,Ccel_R0011",+,453791,459565,5,,1,0,0,1,Unknown,,,,,,,,
204,Ccel_0402,+,460175,461293,1,,0,0,0,0,,,,,,,,,
205,Ccel_0403,+,461451,461642,1,,0,0,0,0,,,,,,,,,
206,Ccel_0404,+,462382,462588,1,,0,0,0,0,,,,,,,,,
207,Ccel_0405,-,462779,463928,1,,0,0,0,0,,,,,,,,,
208,Ccel_0406,+,463988,464308,1,,0,0,0,0,,,,,,,,,
209,Ccel_0407,+,464657,465013,1,464642,0,0,0,0,,,,,,,,,
210,Ccel_0408,+,465221,466162,1,,0,0,0,0,,,,,,,,,
211,Ccel_0409,+,466412,467458,1,,0,0,0,0,,,,,,,,,
212,Ccel_0410,-,467726,468184,1,468226,0,0,0,0,,,,,,,,,
213,Ccel_0411,-,468358,469953,1,,0,0,0,0,,,,,,,,,
214,Ccel_0412,-,470192,470470,1,470478,0,0,0,0,,,,,,,,,
215,"Ccel_0413,Ccel_0414,Ccel_0415,Ccel_0416,Ccel_0417",+,470718,478174,5,,0,0,0,0,Complex,,,,,,,,
216,Ccel_0418,-,478396,479592,1,,0,0,0,0,,,,,,,,,
217,Ccel_0419,+,479706,480701,1,,0,0,0,0,,,,,,,,,
218,"Ccel_0421,Ccel_0422,Ccel_0423",-,481263,484098,3,,0,0,0,0,Up,,,,,,,,
219,Ccel_0424,+,484286,484699,1,,0,0,0,0,,,,,,,,,
220,Ccel_0425,-,484709,486175,1,,0,0,0,0,,,,,,,,,
221,"Ccel_0426,Ccel_0427",+,486550,488379,2,,0,0,0,0,Up,,,,,,,,
222,Ccel_0428,-,488508,491300,1,,0,0,0,0,,,,,,,,,
223,Ccel_0429,+,492172,494757,1,492032,1,1,0,0,,,,,,,,,
224,Ccel_0430,+,494963,496570,1,,0,0,0,0,,,,,,,,,
225,"Ccel_0431,Ccel_0432",-,496754,497366,2,,0,0,0,0,Flat,,,,,,,,
226,Ccel_0433,+,497558,498499,1,,0,0,0,0,,,,,,,,,
227,"Ccel_0435,Ccel_0436,Ccel_0437,Ccel_0438",-,498993,503537,4,,0,0,0,0,Up,,,,,,,,
228,"Ccel_0439,Ccel_0440",+,503743,505598,2,,0,0,0,0,Up,,,,,,,,
229,Ccel_0441,+,506116,507456,1,,0,0,0,0,,,,,,,,,
230,"Ccel_0442,Ccel_0443",+,507604,509129,2,507515,0,0,0,0,Flat,,,,,,,,
231,Ccel_0444,+,509314,510021,1,,0,0,0,0,,,,,,,,,
232,"Ccel_0445,Ccel_0446,Ccel_0447,Ccel_0448,Ccel_0449",+,510074,513799,5,510057,0,0,0,0,Complex,,,,,,,,
233,"Ccel_0450,Ccel_0451,Ccel_0452",+,513835,520569,3,,0,0,0,0,Up,,,,,,,,
234,"Ccel_0453,Ccel_0454,Ccel_0455,Ccel_0456,Ccel_0457",+,520889,526667,5,,1,1,0,0,Complex,,,,,,,,
235,"Ccel_0458,Ccel_0459,Ccel_0460",+,526895,529175,3,,0,0,0,0,Complex,,,,,,,,
236,"Ccel_0461,Ccel_0462",+,529197,532525,2,,0,0,0,0,Flat,,,,,,,,
237,"Ccel_0463,Ccel_0464,Ccel_0465,Ccel_0466,Ccel_0467,Ccel_0468,Ccel_0469",+,532624,539159,7,532561,0,0,0,0,Complex,,,,,,,,
238,Ccel_0470,-,539226,539402,1,,0,0,0,0,,,,,,,,,
239,"Ccel_0471,Ccel_0472,Ccel_0473,Ccel_0474",+,539573,544442,4,,0,0,0,0,Up,,,,,,,,
240,"Ccel_0475,Ccel_0476,Ccel_0477",+,544670,546728,3,544616,2,1,0,1,Up,,,,,,,,
241,"Ccel_0478,Ccel_0479,Ccel_0480,Ccel_0481,Ccel_0482,Ccel_0483",+,546888,555301,6,,0,0,0,0,Down,,,,,,,,
242,Ccel_0484,-,555338,555532,1,555540,0,0,0,0,,,,,,,,,
243,Ccel_0485,+,555876,557252,1,,0,0,0,0,,,,,,,,,
244,Ccel_0486,-,557333,558523,1,558613,0,0,0,0,,,,,,,,,
245,"Ccel_0487,Ccel_0488",+,558764,561751,2,,0,0,0,0,Up,,,,,,,,
246,"Ccel_0489,Ccel_0490,Ccel_0491",+,561965,566533,3,,0,0,0,0,Up,,,,,,,,
247,Ccel_0492,+,566657,568561,1,,0,0,0,0,,,,,,,,,
248,Ccel_0493,+,568831,570306,1,,0,0,0,0,,,,,,,,,
249,"Ccel_0494,Ccel_0495",-,570422,572654,2,572776,0,0,0,0,Down,,,,,,,,
250,Ccel_0496,+,572993,574237,1,572973,0,0,0,0,,,,,,,,,
251,Ccel_0497,+,574444,575493,1,574394,0,0,0,0,,,,,,,,,
252,Ccel_0498,-,575495,576373,1,,0,0,0,0,,,,,,,,,
253,Ccel_0499,+,576490,580260,1,,1,0,1,0,,,,,,,,,
254,Ccel_0500,+,580364,581164,1,,0,0,0,0,,,,,,,,,
255,Ccel_0501,+,581303,582103,1,581283,0,0,0,0,,,,,,,,,
256,"Ccel_0502,Ccel_0503,Ccel_0504,Ccel_0505,Ccel_0506,Ccel_0507,Ccel_0508,Ccel_0509,Ccel_0510,Ccel_0511,Ccel_0512",+,582244,592548,11,582171,0,0,0,0,Complex,,,,,,,,
257,"Ccel_0513,Ccel_0514",-,592543,593933,2,,0,0,0,0,Flat,,,,,,,,
258,"Ccel_0515,Ccel_0516",+,594208,595406,2,,0,0,0,0,Flat,,,,,,,,
259,Ccel_0517,-,595476,596702,1,,0,0,0,0,,,,,,,,,
260,Ccel_0518,+,596854,597645,1,,0,0,0,0,,,,,,,,,
261,Ccel_0519,+,598014,598868,1,,0,0,0,0,,,,,,,,,
262,Ccel_0520,-,598883,600103,1,600130,0,0,0,0,,,,,,,,,
263,"Ccel_0521,Ccel_0522,Ccel_0523",+,600333,604333,3,,0,0,0,0,Complex,,,,,,,,
264,"Ccel_R0012,Ccel_R0013,Ccel_R0014,Ccel_R0015",+,605119,610812,4,,0,0,0,0,Unknown,,,,,,,,
265,"Ccel_0524,Ccel_0525,Ccel_0526",-,610925,613095,3,,0,0,0,0,Up,,,,,,,,
266,Ccel_0527,+,613548,615188,1,613524,0,0,0,0,,,,,,,,,
267,Ccel_0528,-,615248,616612,1,,0,0,0,0,,,,,,,,,
268,"Ccel_0529,Ccel_0530",+,616871,619045,2,616801,0,0,0,0,Up,,,,,,,,
269,"Ccel_0531,Ccel_0532",+,619108,619898,2,,1,0,0,1,Up,,,,,,,,
270,Ccel_0533,+,619980,620120,1,619954,0,0,0,0,,,,,,,,,
271,"Ccel_0534,Ccel_0535",+,620259,622114,2,,0,0,0,0,Down,,,,,,,,
272,"Ccel_0536,Ccel_0537",+,622362,624663,2,622317,0,0,0,0,Flat,,,,,,,,
273,Ccel_0538,-,624798,625082,1,,0,0,0,0,,,,,,,,,
274,Ccel_0539,+,625359,625649,1,625324,0,0,0,0,,,,,,,,,
275,"Ccel_0540,Ccel_0541",+,625885,628804,2,625801,0,0,0,0,Down,,,,,,,,
276,"Ccel_R0016,Ccel_R0017",+,629074,629230,2,629037,0,0,0,0,Flat,,,,,,,,
277,Ccel_0542,-,629306,629479,1,,0,0,0,0,,,,,,,,,
278,"Ccel_0543,Ccel_0544",+,629611,631129,2,,0,0,0,0,Up,,,,,,,,
279,Ccel_0545,+,631829,632524,1,,0,0,0,0,,,,,,,,,
280,Ccel_0546,-,632594,632785,1,,0,0,0,0,,,,,,,,,
281,Ccel_0547,+,632961,633818,1,,0,0,0,0,,,,,,,,,
282,Ccel_0548,+,633957,634808,1,,0,0,0,0,,,,,,,,,
283,"Ccel_0549,Ccel_0550,Ccel_0551,Ccel_0552",+,634954,638749,4,634929,0,0,0,0,Complex,,,,,,,,
284,Ccel_0553,+,638880,639086,1,638821,0,0,0,0,,,,,,,,,
285,"Ccel_0554,Ccel_0555,Ccel_0556",+,639165,641526,3,,2,0,0,2,Complex,,,,,,,,
286,"Ccel_0557,Ccel_0558,Ccel_0559,Ccel_0560",+,641686,646614,4,,0,0,0,0,Up,,,,,,,,
287,Ccel_0561,-,646686,648779,1,648826,0,0,0,0,,,,,,,,,
