"Locus"	"start.x"	"end"	"strand"	"product_accession"	"Product"	"feature_interval_length"	"product_length"	"GO"	"GO_terms"	"Enzyme.Codes.list"	"Description"	"start.y"
"Ccel_0039"	41190	42203	"+"	"ACL74427.1"	"S-layer domain protein"	1014	337	5	"P:xylan catabolic process; P:metabolic process; F:endo-1,4-beta-xylanase activity; F:hydrolase activity; F:hydrolase activity, acting on glycosyl bonds"	""	"S-layer [[Clostridium] papyrosolvens]"	41190
"Ccel_0040"	42369	43385	"+"	"ACL74428.1"	"Abortive infection protein"	1017	338	3	"P:proteolysis; C:integral component of membrane; F:peptidase activity"	""	"peptidase ["	42369
"Ccel_0041"	43420	44433	"-"	"ACL74429.1"	"IstB domain protein ATP-binding protein"	1014	337	1	"F:ATP binding"	""	"DNA replication"	43420
"Ccel_0042"	44466	45452	"-"	"ACL74430.1"	"primosome, DnaD subunit"	987	328	NA	NA	""	"primosome subunit"	44466
"Ccel_0043"	45662	46177	"+"	"ACL74431.1"	"Ferritin Dps family protein"	516	171	7	"P:cellular iron ion homeostasis; F:ferric iron binding; C:cytoplasm; F:oxidoreductase activity; P:iron ion transport; C:membrane; P:oxidation-reduction process"	""	"ferritin"	45662
"Ccel_0044"	46249	47865	"-"	"ACL74432.1"	"extracellular solute-binding protein family 5"	1617	538	2	"P:transmembrane transport; C:ATP-binding cassette (ABC) transporter complex"	""	"peptide ABC transporter substrate-binding"	46249
"Ccel_0045"	48051	49049	"-"	"ACL74433.1"	"oligopeptide/dipeptide ABC transporter, ATPase subunit"	999	332	6	"F:ATP binding; P:metabolic process; P:divalent inorganic cation transport; P:nickel cation transmembrane transport; P:peptide transport; F:nickel-transporting ATPase activity"	"EC:3.6.1; EC:3.6.3.24; EC:3.6.1.3; EC:3.6.1.15"	"peptide ABC transporter ATP-binding ["	48051
"Ccel_0046"	49039	50049	"-"	"ACL74434.1"	"oligopeptide/dipeptide ABC transporter, ATPase subunit"	1011	336	6	"F:ATP binding; P:metabolic process; P:divalent inorganic cation transport; P:nickel cation transmembrane transport; P:peptide transport; F:nickel-transporting ATPase activity"	"EC:3.6.1; EC:3.6.3.24; EC:3.6.1.3; EC:3.6.1.15"	"peptide ABC transporter ATP-binding"	49039
"Ccel_0047"	50186	51181	"-"	"ACL74435.1"	"binding-protein-dependent transport systems inner membrane component"	996	331	3	"C:integral component of membrane; P:transport; C:plasma membrane"	""	"peptide ABC transporter permease ["	50186
"Ccel_0048"	51198	52121	"-"	"ACL74436.1"	"binding-protein-dependent transport systems inner membrane component"	924	307	3	"C:integral component of membrane; P:transport; C:plasma membrane"	""	"binding- -dependent transport systems inner membrane component"	51198
"Ccel_0049"	52670	54397	"-"	"ACL74437.1"	"methyl-accepting chemotaxis sensory transducer"	1728	575	4	"P:chemotaxis; P:signal transduction; C:integral component of membrane; F:signal transducer activity"	""	"methyl-accepting chemotaxis"	52670
"Ccel_0050"	55000	55911	"+"	"ACL74438.1"	"diacylglycerol kinase catalytic region"	912	303	3	"F:ATP binding; P:phosphorylation; F:kinase activity"	""	"diacylglycerol kinase"	55000
"Ccel_0051"	55929	57095	"+"	"ACL74439.1"	"nuclease SbcCD, D subunit"	1167	388	4	"F:3'-5' exonuclease activity; P:nucleic acid phosphodiester bond hydrolysis; F:endonuclease activity; P:DNA metabolic process"	"EC:3.1"	"exonuclease sbcCD subunit D"	55929
"Ccel_0052"	57092	60241	"+"	"ACL74440.1"	"SMC domain protein"	3150	1049	3	"P:DNA repair; P:nucleic acid phosphodiester bond hydrolysis; F:nuclease activity"	"EC:3.1"	"chromosome segregation SMC [[Clostridium] papyrosolvens]"	57092
"Ccel_0053"	60279	62507	"-"	"ACL74441.1"	"1,4-alpha-glucan branching enzyme"	2229	742	6	"P:glycogen biosynthetic process; F:1,4-alpha-glucan branching enzyme activity; F:cation binding; F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:starch metabolic process; P:sucrose metabolic process"	"EC:2.4.1.18"	"1,4-alpha-glucan branching enzyme ["	60279
"Ccel_0054"	62580	63638	"-"	"ACL74442.1"	"periplasmic sugar-binding protein"	1059	352	6	"P:metabolic process; C:membrane; C:integral component of membrane; P:monosaccharide transport; F:monosaccharide-transporting ATPase activity; F:hydrolase activity"	""	"sugar ABC transporter substrate-binding"	62580
"Ccel_0055"	63997	64281	"+"	"ACL74443.1"	"ribosomal protein S6"	285	94	5	"F:structural constituent of ribosome; P:ribosome biogenesis; C:ribosome; F:rRNA binding; P:translation"	""	"30S ribosomal S6"	63997
"Ccel_0056"	64293	64721	"+"	"ACL74444.1"	"single-strand binding protein"	429	142	4	"P:DNA repair; P:DNA replication; P:DNA recombination; F:single-stranded DNA binding"	""	"single-stranded DNA-binding"	64293
"Ccel_0057"	65010	65303	"+"	"ACL74445.1"	"ribosomal protein S18"	294	97	5	"F:structural constituent of ribosome; P:ribosome biogenesis; C:ribosome; F:rRNA binding; P:translation"	""	"30S ribosomal S18"	65010
"Ccel_0058"	65420	65758	"-"	"ACL74446.1"	"transcriptional regulator, XRE family"	339	112	1	"F:sequence-specific DNA binding"	""	"transcriptional regulator"	65420
"Ccel_0059"	66103	66315	"+"	"ACL74447.1"	"hypothetical protein"	213	70	NA	NA	""	"hypothetical protein ["	66103
"Ccel_0060"	66526	66897	"+"	"ACL74448.1"	"hypothetical protein"	372	123	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	66526
"Ccel_0061"	67215	67685	"+"	"ACL74449.1"	"transposase IS200-family protein"	471	156	8	"F:DNA binding; F:DNA-directed DNA polymerase activity; F:transposase activity; P:DNA replication; P:DNA biosynthetic process; C:DNA polymerase complex; F:hydrolase activity, acting on glycosyl bonds; P:transposition, DNA-mediated"	"EC:2.7.7.7"	"transposase"	67215
"Ccel_0062"	68141	69136	"+"	"ACL74450.1"	"hydrolase (metallo-beta-lactamase superfamily)-like protein"	996	331	2	"P:metabolic process; F:hydrolase activity"	""	"MBL fold metallo-hydrolase"	68141
"Ccel_0063"	69576	70424	"+"	"ACL74451.1"	"hypothetical protein"	849	282	2	"P:proteolysis; F:serine-type endopeptidase activity"	""	"RNA-processing HAT helix repeating-containing (fragment)"	69576
"Ccel_0064"	70435	70953	"+"	"ACL74452.1"	"hypothetical protein"	519	172	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	70435
"Ccel_0065"	70967	73924	"+"	"ACL74453.1"	"SMC domain protein"	2958	985	NA	NA	""	"DNA repair"	70967
"Ccel_0066"	74147	77449	"+"	"ACL74454.1"	"type III restriction protein res subunit"	3303	1100	4	"F:DNA binding; F:ATP binding; P:metabolic process; F:hydrolase activity"	""	"DEAD DEAH box helicase"	74147
"Ccel_0067"	77670	78827	"+"	"ACL74455.1"	"integrase family protein"	1158	385	3	"F:DNA binding; P:DNA recombination; P:DNA integration"	""	"MULTISPECIES: integrase"	77670
"Ccel_0068"	78824	80209	"+"	"ACL74456.1"	"integrase family protein"	1386	461	3	"F:DNA binding; P:DNA recombination; P:DNA integration"	""	"integrase"	78824
"Ccel_0069"	80200	81753	"+"	"ACL74457.1"	"integrase family protein"	1554	517	3	"F:DNA binding; P:DNA recombination; P:DNA integration"	""	"phage integrase family"	80200
"Ccel_0070"	81750	82196	"+"	"ACL74458.1"	"hypothetical protein"	447	148	1	"F:DNA binding"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	81750
"Ccel_0071"	82681	84462	"+"	"ACL74459.1"	"SEC-C motif domain protein"	1782	593	NA	NA	""	"zinc chelation [[Clostridium] cellulolyticum]"	82681
"Ccel_0072"	84739	87255	"+"	"ACL74460.1"	"hypothetical protein"	2517	838	2	"F:DNA binding; P:RNA processing"	""	"SIR2 family"	84739
"Ccel_0073"	87609	88196	"-"	"ACL74461.1"	"hypothetical protein"	588	195	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	87609
"Ccel_0074"	88905	89834	"+"	"ACL74462.1"	"conserved hypothetical protein"	930	309	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	88905
"Ccel_0075"	90250	90540	"+"	"ACL74463.1"	"ribosomal protein S18"	291	96	5	"F:structural constituent of ribosome; P:ribosome biogenesis; C:ribosome; F:rRNA binding; P:translation"	""	"30S ribosomal S18"	90250
"Ccel_0076"	90746	91423	"-"	"ACL74464.1"	"conserved hypothetical protein"	678	225	NA	NA	""	"TIGR02453 family"	90746
"Ccel_0077"	91604	91918	"+"	"ACL74465.1"	"hypothetical protein"	315	104	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	91604
"Ccel_0078"	92021	92863	"+"	"ACL74466.1"	"prephenate dehydratase"	843	280	8	"F:chorismate mutase activity; P:L-phenylalanine biosynthetic process; P:tryptophan biosynthetic process; P:L-phenylalanine biosynthetic process; C:cytoplasm; P:tyrosine biosynthetic process; F:amino acid binding; F:prephenate dehydratase activity"	"EC:4.2.1.51; EC:5.4.99.5"	"prephenate dehydratase"	92021
"Ccel_0079"	92956	93300	"+"	"ACL74467.1"	"conserved hypothetical protein"	345	114	NA	NA	""	"-like domain containing [Ruminiclostridium thermocellum AD2]"	92956
"Ccel_0080"	93316	95319	"+"	"ACL74468.1"	"phosphoesterase RecJ domain protein"	2004	667	2	"F:nucleic acid binding; C:integral component of membrane"	""	"phosphoesterase [[Clostridium] papyrosolvens]"	93316
"Ccel_0081"	95349	95795	"+"	"ACL74469.1"	"ribosomal protein L9"	447	148	5	"F:structural constituent of ribosome; P:ribosome biogenesis; C:ribosome; F:rRNA binding; P:translation"	""	"50S ribosomal L9"	95349
"Ccel_0082"	95838	97178	"+"	"ACL74470.1"	"replicative DNA helicase"	1341	446	6	"F:DNA binding; F:ATP binding; F:DNA helicase activity; P:DNA duplex unwinding; C:primosome complex; P:DNA replication, synthesis of RNA primer"	"EC:3.6.1; EC:3.6.1.15"	"replicative DNA helicase"	95838
"Ccel_0083"	97179	98624	"+"	"ACL74471.1"	"tRNA(Ile)-lysidine synthetase"	1446	481	4	"F:ATP binding; F:ligase activity, forming carbon-nitrogen bonds; C:cytoplasm; P:tRNA modification"	""	"tRNA(Ile)-lysidine synthetase ["	97179
"Ccel_0084"	98660	99199	"+"	"ACL74472.1"	"hypoxanthine phosphoribosyltransferase"	540	179	5	"C:cytoplasm; P:hypoxanthine metabolic process; P:purine ribonucleoside salvage; F:hypoxanthine phosphoribosyltransferase activity; F:guanine phosphoribosyltransferase activity"	"EC:2.4.2.8"	"hypoxanthine phosphoribosyltransferase"	98660
"Ccel_0085"	99447	101306	"+"	"ACL74473.1"	"ATP-dependent metalloprotease FtsH"	1860	619	9	"F:ATPase activity; P:cell division; F:ATP binding; F:zinc ion binding; P:protein catabolic process; P:proteolysis; C:integral component of membrane; F:metalloendopeptidase activity; C:plasma membrane"	"EC:3.4.24; EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"cell division"	99447
"Ccel_0086"	101392	101784	"+"	"ACL74474.1"	"thioesterase"	393	130	NA	NA	""	"thioesterase [[Clostridium] papyrosolvens]"	101392
"Ccel_0087"	102061	103251	"+"	"ACL74475.1"	"S-adenosylmethionine synthetase"	1191	396	7	"F:magnesium ion binding; F:ATP binding; C:cytoplasm; P:S-adenosylmethionine biosynthetic process; F:methionine adenosyltransferase activity; P:one-carbon metabolic process; P:methionine metabolic process"	"EC:2.5.1.6"	"methionine adenosyltransferase"	102061
"Ccel_0088"	103403	103741	"+"	"ACL74476.1"	"Glycosyl transferase family 2"	339	112	5	"F:DNA binding; P:nucleic acid phosphodiester bond hydrolysis; F:nuclease activity; C:integral component of membrane; P:DNA metabolic process"	"EC:3.1"	"Glycosyl transferase family 2 [[Clostridium] ultunense Esp]"	103403
"Ccel_0089"	103985	106426	"+"	"ACL74477.1"	"exonuclease V subunit alpha"	2442	813	9	"C:replication fork; F:DNA binding; F:ATP binding; P:nucleic acid phosphodiester bond hydrolysis; P:DNA catabolic process; F:ATP-dependent 5'-3' DNA helicase activity; P:DNA duplex unwinding; F:exodeoxyribonuclease V activity; C:exodeoxyribonuclease V complex"	"EC:3.6.1; EC:3.6.1.3; EC:3.1; EC:3.1.11; EC:3.1.15; EC:3.6.1.15; EC:3.1.11.5"	"ATPase AAA"	103985
"Ccel_0090"	106584	107246	"+"	"ACL74478.1"	"phosphoribosyltransferase"	663	220	2	"F:transferase activity, transferring glycosyl groups; P:nucleoside metabolic process"	""	"phosphoribosyltransferase ["	106584
"Ccel_0091"	107296	107709	"+"	"ACL74479.1"	"regulatory protein, MerR"	414	137	1	"C:motile cilium"	""	"family transcriptional regulator"	107296
"Ccel_0092"	107897	108184	"+"	"ACL74480.1"	"Anti-sigma-28 factor FlgM family protein"	288	95	1	"P:negative regulation of transcription, DNA-templated"	""	"flagellar biosynthesis"	107897
"Ccel_0093"	108231	108731	"+"	"ACL74481.1"	"FlgN family protein"	501	166	2	"F:protein binding; P:bacterial-type flagellum assembly"	""	"flagellar biosynthesis ["	108231
"Ccel_0094"	108765	110891	"+"	"ACL74482.1"	"flagellar hook-associated protein FlgK"	2127	708	4	"C:motile cilium; P:bacterial-type flagellum assembly; C:bacterial-type flagellum hook; F:structural molecule activity"	""	"flagellar hook-associated"	108765
"Ccel_0095"	110923	112536	"+"	"ACL74483.1"	"flagellar hook-associated protein FlgK"	1614	537	7	"C:motile cilium; P:bacterial-type flagellum assembly; C:bacterial-type flagellum hook; F:structural molecule activity; P:bacterial-type flagellum-dependent cell motility; C:extracellular region; P:protein phosphorylation"	""	"flagellar hook-associated"	110923
"Ccel_0096"	112539	113468	"+"	"ACL74484.1"	"flagellar hook-associated protein 3"	930	309	4	"C:motile cilium; C:bacterial-type flagellum hook; F:structural molecule activity; P:bacterial-type flagellum-dependent cell motility"	""	"flagellar hook-associated"	112539
"Ccel_0097"	113503	114084	"+"	"ACL74485.1"	"conserved hypothetical protein"	582	193	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	113503
"Ccel_0098"	114168	114614	"+"	"ACL74486.1"	"protein of unknown function DUF180"	447	148	3	"C:motile cilium; P:bacterial-type flagellum assembly; C:cytoplasm"	""	"flagellar assembly"	114168
"Ccel_0099"	114616	114834	"+"	"ACL74487.1"	"carbon storage regulator, CsrA"	219	72	3	"P:regulation of carbohydrate metabolic process; F:RNA binding; P:mRNA catabolic process"	""	"carbon storage regulator"	114616
"Ccel_0100"	115020	115841	"+"	"ACL74488.1"	"flagellin domain protein"	822	273	5	"C:motile cilium; C:bacterial-type flagellum filament; F:structural molecule activity; P:bacterial-type flagellum-dependent cell motility; C:extracellular region"	""	"flagellin"	115020
"Ccel_0101"	116068	116889	"+"	"ACL74489.1"	"flagellin domain protein"	822	273	5	"C:motile cilium; C:bacterial-type flagellum filament; F:structural molecule activity; P:bacterial-type flagellum-dependent cell motility; C:extracellular region"	""	"flagellin"	116068
"Ccel_0102"	117174	118004	"+"	"ACL74490.1"	"flagellin domain protein"	831	276	5	"C:motile cilium; C:bacterial-type flagellum filament; F:structural molecule activity; P:bacterial-type flagellum-dependent cell motility; C:extracellular region"	""	"flagellin"	117174
"Ccel_0103"	118101	119345	"+"	"ACL74491.1"	"conserved hypothetical protein"	1245	414	1	"C:motile cilium"	""	"Flagellar biosynthetic"	118101
"Ccel_0104"	119442	119828	"+"	"ACL74492.1"	"flagellar protein FlaG protein"	387	128	1	"C:motile cilium"	""	"flagellar ["	119442
"Ccel_0105"	119833	122169	"+"	"ACL74493.1"	"flagellar hook-associated 2 domain protein"	2337	778	4	"C:motile cilium; C:bacterial-type flagellum hook; P:cell adhesion; C:extracellular region"	""	"flagellar hook"	119833
"Ccel_0106"	122208	122612	"+"	"ACL74494.1"	"flagellar protein FliS"	405	134	4	"C:motile cilium; C:bacterial-type flagellum; P:bacterial-type flagellum assembly; C:cytosol"	""	"flagellar"	122208
"Ccel_0107"	122698	123180	"+"	"ACL74495.1"	"FlgN family protein"	483	160	2	"F:protein binding; P:bacterial-type flagellum assembly"	""	"flagellar [[Clostridium] papyrosolvens]"	122698
"Ccel_0108"	123349	124686	"+"	"ACL74496.1"	"Kelch repeat protein"	1338	445	1	"F:protein binding"	""	"galactose oxidase"	123349
"Ccel_0109"	124785	125762	"-"	"ACL74497.1"	"alpha beta hydrolase"	978	325	1	"C:integral component of membrane"	""	"alpha beta hydrolase"	124785
"Ccel_0110"	125938	126828	"+"	"ACL74498.1"	"Radical SAM domain protein"	891	296	5	"F:metal ion binding; F:lyase activity; F:[formate-C-acetyltransferase]-activating enzyme activity; P:oxidation-reduction process; F:iron-sulfur cluster binding"	"EC:1.97.1.4"	"Radical SAM domain"	125938
"Ccel_0111"	126931	128511	"+"	"ACL74499.1"	"serine/threonine protein kinase"	1581	526	5	"F:ATP binding; C:integral component of membrane; P:serine family amino acid metabolic process; F:protein serine/threonine kinase activity; P:protein phosphorylation"	"EC:2.7.11"	"serine threonine kinase"	126931
"Ccel_0112"	128517	129173	"+"	"ACL74500.1"	"SAF domain protein"	657	218	1	"C:motile cilium"	""	"flagellar [[Clostridium] papyrosolvens]"	128517
"Ccel_0113"	129173	129985	"+"	"ACL74501.1"	"hypothetical protein"	813	270	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	129173
"Ccel_0114"	130032	131576	"+"	"ACL74502.1"	"type II secretion system protein E"	1545	514	2	"F:ATP binding; P:transport"	""	"type II secretion system E"	130032
"Ccel_0115"	131573	132532	"+"	"ACL74503.1"	"hypothetical protein"	960	319	1	"C:integral component of membrane"	""	"type II secretion system F [ [[Clostridium] papyrosolvens C7]"	131573
"Ccel_0116"	132558	133673	"+"	"ACL74504.1"	"hypothetical protein"	1116	371	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	132558
"Ccel_0117"	133685	133843	"+"	"ACL74505.1"	"hypothetical protein"	159	52	1	"C:integral component of membrane"	""	"hypothetical protein Ccel_0117 ["	133685
"Ccel_0118"	133868	134035	"+"	"ACL74506.1"	"hypothetical protein"	168	55	1	"C:integral component of membrane"	""	"hypothetical protein Ccel_0118 ["	133868
"Ccel_0119"	134069	134221	"+"	"ACL74507.1"	"hypothetical protein"	153	50	NA	NA	""	"hypothetical protein Ccel_0119 ["	134069
"Ccel_0120"	134228	134674	"+"	"ACL74508.1"	"hypothetical protein"	447	148	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	134228
"Ccel_0121"	134694	135332	"+"	"ACL74509.1"	"hypothetical protein"	639	212	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	134694
"Ccel_0122"	135466	136335	"+"	"ACL74510.1"	"Radical SAM domain protein"	870	289	4	"F:catalytic activity; F:metal ion binding; P:metabolic process; F:4 iron, 4 sulfur cluster binding"	""	"radical SAM"	135466
