start	end	strand	product_accession	Product	Locus	feature_interval_length	product_length
140802	142061	+	ACL74514.1	"3-isopropylmalate dehydratase, large subunit"	Ccel_0126	1260	419
142195	142686	+	ACL74515.1	"3-isopropylmalate dehydratase, small subunit"	Ccel_0127	492	163
1957363	1957863	-	ACL75973.1	"3-isopropylmalate dehydratase, small subunit"	Ccel_1621	501	166
142711	143781	+	ACL74516.1	3-isopropylmalate dehydrogenase	Ccel_0128	1071	356
2142913	2143776	-	ACL76137.1	3-methyl-2-oxobutanoate hydroxymethyltransferase	Ccel_1787	864	287
1050190	1051236	+	ACL75246.1	3-Oxoacyl-(acyl-carrier-protein (ACP)) synthase III domain protein	Ccel_0874	1047	348
1488143	1489198	-	ACL75572.1	3-Oxoacyl-(acyl-carrier-protein (ACP)) synthase III domain protein	Ccel_1215	1056	351
3441391	3442389	-	ACL77179.1	3-Oxoacyl-(acyl-carrier-protein (ACP)) synthase III domain protein	Ccel_2885	999	332
3444203	3445201	-	ACL77181.1	3-Oxoacyl-(acyl-carrier-protein (ACP)) synthase III domain protein	Ccel_2887	999	332
789242	789979	+	ACL75064.1	3-oxoacyl-(acyl-carrier-protein) reductase	Ccel_0684	738	245
790464	791699	+	ACL75066.1	3-oxoacyl-(acyl-carrier-protein) synthase 2	Ccel_0686	1236	411
787238	788236	+	ACL75062.1	3-oxoacyl-(acyl-carrier-protein) synthase III	Ccel_0682	999	332
1964015	1964992	-	ACL75980.1	3-oxoacyl-(acyl-carrier-protein)-like protein	Ccel_1628	978	325
2928437	2929705	-	ACL76758.1	3-phosphoshikimate 1-carboxyvinyltransferase	Ccel_2428	1269	422
1991778	1992878	-	ACL76002.1	40-residue YVTN family beta-propeller repeat protein	Ccel_1651	1101	366
22884	23735	+	ACL74410.1	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	Ccel_0022	852	283
185841	186011	+	ACL74549.1	4Fe-4S ferredoxin iron-sulfur binding domain protein	Ccel_0161	171	56
632594	632785	-	ACL74928.1	4Fe-4S ferredoxin iron-sulfur binding domain protein	Ccel_0546	192	63
638880	639086	+	ACL74935.1	4Fe-4S ferredoxin iron-sulfur binding domain protein	Ccel_0553	207	68
730322	730972	+	ACL75012.1	4Fe-4S ferredoxin iron-sulfur binding domain protein	Ccel_0631	651	216
1360523	1361305	+	ACL75461.1	4Fe-4S ferredoxin iron-sulfur binding domain protein	Ccel_1102	783	260
1628361	1629044	+	ACL75681.1	4Fe-4S ferredoxin iron-sulfur binding domain protein	Ccel_1327	684	227
1656109	1656825	-	ACL75713.1	4Fe-4S ferredoxin iron-sulfur binding domain protein	Ccel_1359	717	238
3904591	3904965	-	ACL77655.1	4Fe-4S ferredoxin iron-sulfur binding domain protein	Ccel_3366	375	124
3137481	3138497	-	ACL76931.1	4-hydroxythreonine-4-phosphate dehydrogenase	Ccel_2603	1017	338
775471	776178	-	ACL75051.1	4'-phosphopantetheinyl transferase	Ccel_0671	708	235
2534937	2535485	-	ACL76506.1	5-formyltetrahydrofolate cyclo-ligase	Ccel_2164	549	182
1592861	1594090	+	ACL75644.1	5-methylthioribose kinase	Ccel_1288	1230	409
3041435	3043006	-	ACL76847.1	5'-Nucleotidase domain protein	Ccel_2519	1572	523
2365966	2366433	-	ACL76350.1	"6,7-dimethyl-8-ribityllumazine synthase"	Ccel_2003	468	155
4066575	4067420	-	ACL77775.1	60 kDa inner membrane insertion protein	Ccel_3488	846	281
3146030	3147013	-	ACL76940.1	6-phosphofructokinase	Ccel_2612	984	327
3872391	3873278	-	ACL77618.1	8-oxoguanine DNA glycosylase domain protein	Ccel_3329	888	295
388460	389860	+	ACL74722.1	AAA ATPase	Ccel_0336	1401	466
1743739	1745397	+	ACL75789.1	AAA ATPase	Ccel_1435	1659	552
24516	26117	+	ACL74412.1	AAA ATPase central domain protein	Ccel_0024	1602	533
1821417	1823651	+	ACL75851.1	AAA ATPase central domain protein	Ccel_1499	2235	744
2284457	2285755	-	ACL76284.1	AAA ATPase central domain protein	Ccel_1936	1299	432
136430	138361	+	ACL74511.1	ABC transporter related	Ccel_0123	1932	643
218139	218852	+	ACL74582.1	ABC transporter related	Ccel_0195	714	237
253614	254474	+	ACL74610.1	ABC transporter related	Ccel_0223	861	286
340452	341399	+	ACL74682.1	ABC transporter related	Ccel_0295	948	315
395452	397086	+	ACL74729.1	ABC transporter related	Ccel_0343	1635	544
498993	499763	-	ACL74817.1	ABC transporter related	Ccel_0435	771	256
535022	535750	+	ACL74848.1	ABC transporter related	Ccel_0466	729	242
641686	642363	+	ACL74939.1	ABC transporter related	Ccel_0557	678	225
674523	676274	+	ACL74964.1	ABC transporter related	Ccel_0583	1752	583
910981	911826	+	ACL75167.1	ABC transporter related	Ccel_0789	846	281
912581	913423	+	ACL75169.1	ABC transporter related	Ccel_0791	843	280
973821	974507	+	ACL75227.1	ABC transporter related	Ccel_0855	687	228
1057542	1058312	-	ACL75252.1	ABC transporter related	Ccel_0880	771	256
1064339	1065100	+	ACL75259.1	ABC transporter related	Ccel_0887	762	253
1155938	1156870	-	ACL75328.1	ABC transporter related	Ccel_0966	933	310
1330469	1332016	+	ACL75435.1	ABC transporter related	Ccel_1076	1548	515
1413688	1414374	+	ACL75508.1	ABC transporter related	Ccel_1151	687	228
1424223	1425146	+	ACL75518.1	ABC transporter related	Ccel_1161	924	307
1440701	1441597	+	ACL75534.1	ABC transporter related	Ccel_1177	897	298
1444211	1444921	+	ACL75537.1	ABC transporter related	Ccel_1180	711	236
1455106	1457373	+	ACL75548.1	ABC transporter related	Ccel_1191	2268	755
1457370	1459247	+	ACL75549.1	ABC transporter related	Ccel_1192	1878	625
1498348	1499880	+	ACL75580.1	ABC transporter related	Ccel_1224	1533	510
1542461	1544296	+	ACL75603.1	ABC transporter related	Ccel_1247	1836	611
1544293	1546107	+	ACL75604.1	ABC transporter related	Ccel_1248	1815	604
1661231	1662847	+	ACL75721.1	ABC transporter related	Ccel_1367	1617	538
1682919	1684475	+	ACL75738.1	ABC transporter related	Ccel_1384	1557	518
1684686	1686425	+	ACL75739.1	ABC transporter related	Ccel_1385	1740	579
1686412	1688301	+	ACL75740.1	ABC transporter related	Ccel_1386	1890	629
1710194	1711723	+	ACL75761.1	ABC transporter related	Ccel_1407	1530	509
1733643	1735388	+	ACL75783.1	ABC transporter related	Ccel_1429	1746	581
1735389	1737167	+	ACL75784.1	ABC transporter related	Ccel_1430	1779	592
1968110	1969612	-	ACL75984.1	ABC transporter related	Ccel_1633	1503	500
1980816	1982300	-	ACL75995.1	ABC transporter related	Ccel_1644	1485	494
2118401	2120245	+	ACL76120.1	ABC transporter related	Ccel_1769	1845	614
2120245	2122077	+	ACL76121.1	ABC transporter related	Ccel_1770	1833	610
2270548	2271246	-	ACL76266.1	ABC transporter related	Ccel_1918	699	232
2351290	2352825	-	ACL76334.1	ABC transporter related	Ccel_1986	1536	511
2529516	2530397	-	ACL76501.1	ABC transporter related	Ccel_2159	882	293
2712091	2713014	-	ACL76659.1	ABC transporter related	Ccel_2323	924	307
2758585	2760936	+	ACL76678.1	ABC transporter related	Ccel_2342	2352	783
2765788	2766762	-	ACL76684.1	ABC transporter related	Ccel_2350	975	324
2776526	2777227	-	ACL76690.1	ABC transporter related	Ccel_2356	702	233
3044631	3045641	-	ACL76850.1	ABC transporter related	Ccel_2522	1011	336
3121079	3121801	-	ACL76915.1	ABC transporter related	Ccel_2587	723	240
3139029	3139928	+	ACL76933.1	ABC transporter related	Ccel_2605	900	299
3142385	3143236	-	ACL76936.1	ABC transporter related	Ccel_2608	852	283
3207511	3208263	-	ACL76983.1	ABC transporter related	Ccel_2660	753	250
3233890	3235440	-	ACL77003.1	ABC transporter related	Ccel_2686	1551	516
3237729	3239243	+	ACL77006.1	ABC transporter related	Ccel_2689	1515	504
3256576	3257343	-	ACL77015.1	ABC transporter related	Ccel_2703	768	255
3439328	3441232	-	ACL77178.1	ABC transporter related	Ccel_2884	1905	634
3464432	3465550	-	ACL77203.1	ABC transporter related	Ccel_2909	1119	372
3736498	3737715	-	ACL77492.1	ABC transporter related	Ccel_3202	1218	405
3767645	3769132	+	ACL77519.1	ABC transporter related	Ccel_3229	1488	495
3816253	3817215	-	ACL77551.1	ABC transporter related	Ccel_3262	963	320
3893536	3895275	+	ACL77640.1	ABC transporter related	Ccel_3351	1740	579
3967997	3968806	-	ACL77702.1	ABC transporter related	Ccel_3414	810	269
676271	678019	+	ACL74965.1	ABC transporter transmembrane region	Ccel_0584	1749	582
341402	342106	+	ACL74683.1	ABC-2 type transporter	Ccel_0296	705	234
1156889	1157665	-	ACL75329.1	ABC-2 type transporter	Ccel_0967	777	258
3815510	3816259	-	ACL77550.1	ABC-2 type transporter	Ccel_3261	750	249
3967161	3967997	-	ACL77701.1	ABC-3 protein	Ccel_3413	837	278
2645076	2647259	-	ACL76604.1	ABC-type bacteriocin transporter	Ccel_2265	2184	727
1441594	1442874	+	ACL75535.1	ABC-type Na+ efflux pump permease component-like protein	Ccel_1178	1281	426
42369	43385	+	ACL74428.1	Abortive infection protein	Ccel_0040	1017	338
1091799	1092653	+	ACL75284.1	Abortive infection protein	Ccel_0915	855	284
2134360	2135304	-	ACL76127.1	Abortive infection protein	Ccel_1776	945	314
1137381	1138016	+	ACL75318.1	Accessory gene regulator B	Ccel_0955	636	211
2492310	2492894	-	ACL76471.1	Accessory gene regulator B	Ccel_2127	585	194
3354923	3355555	-	ACL77095.1	Accessory gene regulator B	Ccel_2798	633	210
4021455	4022021	+	ACL77743.1	Accessory gene regulator B	Ccel_3455	567	188
2501858	2503051	-	ACL76480.1	acetate kinase	Ccel_2136	1194	397
350068	351747	+	ACL74690.1	"acetolactate synthase, large subunit, biosynthetic type"	Ccel_0303	1680	559
4000727	4002355	-	ACL77725.1	"acetolactate synthase, large subunit, biosynthetic type"	Ccel_3437	1629	542
4000199	4000708	-	ACL77724.1	"acetolactate synthase, small subunit"	Ccel_3436	510	169
236949	237908	+	ACL74597.1	Acetyl xylan esterase	Ccel_0210	960	319
1111197	1112573	+	ACL75300.1	"acetyl-CoA carboxylase, biotin carboxylase"	Ccel_0934	1377	458
1113433	1114215	+	ACL75302.1	"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit"	Ccel_0936	783	260
1112567	1113433	+	ACL75301.1	"acetyl-CoA carboxylase, carboxyl transferase, beta subunit"	Ccel_0935	867	288
3466862	3467773	+	ACL77205.1	acetylglutamate kinase	Ccel_2911	912	303
3467958	3469160	+	ACL77206.1	acetylornithine and succinylornithine aminotransferase	Ccel_2912	1203	400
2545933	2547861	-	ACL76518.1	aconitate hydratase	Ccel_2176	1929	642
2071030	2071299	-	ACL76074.1	ACT domain-containing protein	Ccel_1723	270	89
790098	790325	+	ACL75065.1	acyl carrier protein	Ccel_0685	228	75
1041504	1041893	+	ACL75237.1	acyl carrier protein	Ccel_0865	390	129
969788	970780	+	ACL75225.1	Acyl transferase	Ccel_0852	993	330
1172285	1173574	+	ACL75337.1	Acyl transferase	Ccel_0975	1290	429
2974864	2975622	-	ACL76790.1	acyl-ACP thioesterase	Ccel_2461	759	252
1216164	1217300	+	ACL75350.1	acyl-CoA dehydrogenase domain protein	Ccel_0988	1137	378
1960884	1962086	-	ACL75977.1	acyl-CoA dehydrogenase domain protein	Ccel_1625	1203	400
3150416	3151327	-	ACL76944.1	acyltransferase 3	Ccel_2616	912	303
3151305	3152456	-	ACL76945.1	acyltransferase 3	Ccel_2617	1152	383
2310726	2311241	-	ACL76300.1	adenine phosphoribosyltransferase	Ccel_1952	516	171
2537747	2538994	-	ACL76510.1	adenosylhomocysteinase	Ccel_2168	1248	415
2449341	2449805	-	ACL76437.1	adenylate cyclase	Ccel_2092	465	154
3029384	3030052	-	ACL76835.1	adenylate cyclase	Ccel_2507	669	222
905207	905851	+	ACL75157.1	adenylate kinase	Ccel_0779	645	214
832690	834117	+	ACL75102.1	adenylosuccinate lyase	Ccel_0723	1428	475
2921621	2922895	-	ACL76749.1	adenylosuccinate synthetase	Ccel_2419	1275	424
2935398	2936261	+	ACL76764.1	agmatinase	Ccel_2434	864	287
2024860	2025852	-	ACL76032.1	AIR synthase related protein domain protein	Ccel_1681	993	330
3483694	3484863	-	ACL77220.1	alanine racemase	Ccel_2926	1170	389
472332	473009	+	ACL74799.1	alanine racemase domain protein	Ccel_0415	678	225
688583	689290	+	ACL74977.1	alanine racemase domain protein	Ccel_0596	708	235
2451176	2453815	-	ACL76441.1	alanyl-tRNA synthetase	Ccel_2096	2640	879
1489527	1490996	-	ACL75574.1	Alcohol acetyltransferase	Ccel_1217	1470	489
1134009	1135088	+	ACL75315.1	Alcohol dehydrogenase GroES domain protein	Ccel_0952	1080	359
1135106	1136116	+	ACL75316.1	Alcohol dehydrogenase GroES domain protein	Ccel_0953	1011	336
1252161	1253207	+	ACL75369.1	Alcohol dehydrogenase GroES domain protein	Ccel_1007	1047	348
1281110	1282180	+	ACL75391.1	Alcohol dehydrogenase GroES domain protein	Ccel_1029	1071	356
1282193	1283233	+	ACL75392.1	Alcohol dehydrogenase GroES domain protein	Ccel_1030	1041	346
2562773	2563813	-	ACL76531.1	Alcohol dehydrogenase GroES domain protein	Ccel_2189	1041	346
3760282	3761355	-	ACL77514.1	Alcohol dehydrogenase GroES domain protein	Ccel_3224	1074	357
798781	799971	+	ACL75074.1	aldo/keto reductase	Ccel_0695	1191	396
1254633	1255646	+	ACL75371.1	aldo/keto reductase	Ccel_1009	1014	337
2689863	2690960	-	ACL76643.1	aldo/keto reductase	Ccel_2306	1098	365
3024775	3025899	-	ACL76831.1	aldo/keto reductase	Ccel_2503	1125	374
3755906	3756823	-	ACL77510.1	aldo/keto reductase	Ccel_3220	918	305
3804344	3805438	-	ACL77539.1	aldo/keto reductase	Ccel_3250	1095	364
1737315	1738379	+	ACL75785.1	Aldose 1-epimerase	Ccel_1431	1065	354
1104725	1106338	+	ACL75296.1	Alkaline phosphatase	Ccel_0930	1614	537
2004577	2005155	+	ACL76012.1	alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen	Ccel_1661	579	192
1046714	1047460	+	ACL75242.1	alpha/beta hydrolase fold protein	Ccel_0870	747	248
3019726	3020535	+	ACL76825.1	alpha/beta hydrolase fold protein	Ccel_2497	810	269
2526843	2527778	-	ACL76498.1	Alpha/beta hydrolase fold-3 domain protein	Ccel_2156	936	311
2587053	2589614	+	ACL76557.1	alpha-glucan phosphorylase	Ccel_2215	2562	853
1288460	1289965	+	ACL75398.1	alpha-L-arabinofuranosidase domain protein	Ccel_1036	1506	501
1494391	1495899	-	ACL75577.1	alpha-L-arabinofuranosidase domain protein	Ccel_1221	1509	502
1556319	1557797	+	ACL75611.1	alpha-L-arabinofuranosidase domain protein	Ccel_1255	1479	492
685999	687285	+	ACL74975.1	Aluminium resistance family protein	Ccel_0594	1287	428
3198416	3199768	-	ACL76977.1	Amidase	Ccel_2653	1353	450
3924832	3926064	-	ACL77672.1	amidinotransferase	Ccel_3384	1233	410
918624	919814	+	ACL75176.1	amidohydrolase	Ccel_0798	1191	396
1275099	1276265	+	ACL75385.1	amidohydrolase	Ccel_1023	1167	388
2536304	2537614	-	ACL76509.1	amidohydrolase	Ccel_2167	1311	436
632961	633818	+	ACL74929.1	amidohydrolase 2	Ccel_0547	858	285
1087341	1088597	+	ACL75281.1	Amidohydrolase 3	Ccel_0909	1257	418
2556922	2558385	-	ACL76526.1	amidophosphoribosyltransferase	Ccel_2184	1464	487
1116382	1117872	+	ACL75303.1	amine oxidase	Ccel_0939	1491	496
2135900	2137618	-	ACL76129.1	amine oxidase	Ccel_1778	1719	572
1034855	1041046	+	ACL75236.1	amino acid adenylation domain protein	Ccel_0864	6192	2063
1151326	1155846	+	ACL75327.1	amino acid adenylation domain protein	Ccel_0965	4521	1506
1177392	1188611	+	ACL75339.1	amino acid adenylation domain protein	Ccel_0977	11220	3739
1193549	1198093	+	ACL75341.1	amino acid adenylation domain protein	Ccel_0979	4545	1514
1198090	1204671	+	ACL75342.1	amino acid adenylation domain protein	Ccel_0980	6582	2193
1206382	1212402	+	ACL75344.1	amino acid adenylation domain protein	Ccel_0982	6021	2006
2719120	2727378	-	ACL76665.1	amino acid adenylation domain protein	Ccel_2329	8259	2752
2730399	2740106	-	ACL76667.1	amino acid adenylation domain protein	Ccel_2331	9708	3235
2809055	2820142	-	ACL76711.1	amino acid adenylation domain protein	Ccel_2378	11088	3695
2823319	2835909	-	ACL76714.1	amino acid adenylation domain protein	Ccel_2381	12591	4196
2843121	2850647	-	ACL76717.1	amino acid adenylation domain protein	Ccel_2384	7527	2508
2854554	2860235	-	ACL76719.1	amino acid adenylation domain protein	Ccel_2386	5682	1893
2867566	2872038	-	ACL76723.1	amino acid adenylation domain protein	Ccel_2390	4473	1490
807801	809684	+	ACL75078.1	amino acid transporter-like protein	Ccel_0699	1884	627
610925	611395	-	ACL74906.1	amino acid-binding ACT domain protein	Ccel_0524	471	156
774993	775424	+	ACL75050.1	amino acid-binding ACT domain protein	Ccel_0670	432	143
1763716	1764156	+	ACL75805.1	amino acid-binding ACT domain protein	Ccel_1451	441	146
1787108	1788382	+	ACL75826.1	aminodeoxychorismate lyase	Ccel_1472	1275	424
1485005	1485811	+	ACL75569.1	aminoglycoside phosphotransferase	Ccel_1212	807	268
1297609	1298697	+	ACL75404.1	aminotransferase class I and II	Ccel_1042	1089	362
1591718	1592788	+	ACL75643.1	aminotransferase class I and II	Ccel_1287	1071	356
2326066	2327247	+	ACL76313.1	aminotransferase class I and II	Ccel_1965	1182	393
2581102	2582265	-	ACL76550.1	aminotransferase class I and II	Ccel_2208	1164	387
3716111	3717286	-	ACL77475.1	aminotransferase class I and II	Ccel_3185	1176	391
2156609	2157448	-	ACL76152.1	aminotransferase class IV	Ccel_1802	840	279
1451501	1452652	+	ACL75545.1	aminotransferase class V	Ccel_1188	1152	383
2028163	2029326	-	ACL76035.1	aminotransferase class V	Ccel_1684	1164	387
1948857	1950074	-	ACL75964.1	aminotransferase class-III	Ccel_1612	1218	405
2169505	2170917	-	ACL76164.1	aminotransferase class-III	Ccel_1814	1413	470
3813281	3814591	-	ACL77548.1	aminotransferase class-III	Ccel_3259	1311	436
570422	572080	-	ACL74876.1	AMP-dependent synthetase and ligase	Ccel_0494	1659	552
1072646	1074466	+	ACL75268.1	AMP-dependent synthetase and ligase	Ccel_0896	1821	606
1165829	1172257	+	ACL75336.1	AMP-dependent synthetase and ligase	Ccel_0974	6429	2142
1664018	1665736	-	ACL75723.1	AMP-dependent synthetase and ligase	Ccel_1369	1719	572
1780911	1782590	+	ACL75823.1	AMP-dependent synthetase and ligase	Ccel_1469	1680	559
1962132	1963691	-	ACL75978.1	AMP-dependent synthetase and ligase	Ccel_1626	1560	519
2215855	2217519	-	ACL76210.1	AMP-dependent synthetase and ligase	Ccel_1862	1665	554
2990618	2992330	-	ACL76800.1	AMP-dependent synthetase and ligase	Ccel_2472	1713	570
3038459	3039973	-	ACL76844.1	AMP-dependent synthetase and ligase	Ccel_2516	1515	504
3806493	3807917	-	ACL77541.1	AMP-dependent synthetase and ligase	Ccel_3252	1425	474
811410	813719	+	ACL75081.1	anaerobic ribonucleoside-triphosphate reductase	Ccel_0702	2310	769
813788	814297	+	ACL75082.1	anaerobic ribonucleoside-triphosphate reductase activating protein	Ccel_0703	510	169
1817994	1818365	+	ACL75846.1	Ankyrin	Ccel_1493	372	123
3696328	3698046	-	ACL77453.1	Ankyrin	Ccel_3162	1719	572
3405055	3405807	-	ACL77146.1	AntA/AntB antirepressor domain protein	Ccel_2852	753	250
3751370	3752395	+	ACL77505.1	anthranilate phosphoribosyltransferase	Ccel_3215	1026	341
3749326	3750792	+	ACL77503.1	anthranilate synthase component I	Ccel_3213	1467	488
1725971	1727113	-	ACL75776.1	antifreeze protein type I	Ccel_1422	1143	380
2665178	2665603	-	ACL76622.1	"anti-sigma regulatory factor, serine/threonine protein kinase"	Ccel_2285	426	141
107897	108184	+	ACL74480.1	Anti-sigma-28 factor FlgM family protein	Ccel_0092	288	95
451241	451558	+	ACL74783.1	anti-sigma-factor antagonist	Ccel_0398	318	105
2665641	2665982	-	ACL76623.1	anti-sigma-factor antagonist	Ccel_2286	342	113
1375285	1376337	+	ACL75475.1	ApbE family lipoprotein	Ccel_1117	1053	350
1858305	1859357	+	ACL75875.1	ApbE family lipoprotein	Ccel_1523	1053	350
213695	214720	+	ACL74578.1	Appr-1-p processing domain protein	Ccel_0191	1026	341
2620833	2621102	-	ACL76584.1	AraC family transcriptional regulator	Ccel_2242	270	89
2455014	2456216	+	ACL76443.1	arginine biosynthesis bifunctional protein ArgJ	Ccel_2098	1203	400
1377950	1379869	+	ACL75477.1	arginine decarboxylase	Ccel_1119	1920	639
2254104	2254556	-	ACL76245.1	"arginine repressor, ArgR"	Ccel_1897	453	150
1641991	1643370	-	ACL75698.1	argininosuccinate lyase	Ccel_1344	1380	459
1643494	1644708	-	ACL75699.1	argininosuccinate synthase	Ccel_1345	1215	404
322992	324686	+	ACL74672.1	arginyl-tRNA synthetase	Ccel_0285	1695	564
733549	734583	+	ACL75016.1	aromatic amino acid beta-eliminating lyase/threonine aldolase	Ccel_0635	1035	344
2692671	2693006	-	ACL76646.1	arsenate reductase and related	Ccel_2309	336	111
3302070	3303119	-	ACL77050.1	arsenical-resistance protein	Ccel_2741	1050	349
3098672	3100066	-	ACL76902.1	asparaginyl-tRNA synthetase	Ccel_2574	1395	464
2141646	2142032	-	ACL76135.1	aspartate 1-decarboxylase	Ccel_1785	387	128
706888	707829	+	ACL74993.1	aspartate carbamoyltransferase	Ccel_0612	942	313
615248	616612	-	ACL74910.1	aspartate kinase	Ccel_0528	1365	454
3100190	3101200	-	ACL76903.1	aspartate/ammonia ligase	Ccel_2575	1011	336
3124789	3125874	+	ACL76919.1	aspartate-semialdehyde dehydrogenase	Ccel_2591	1086	361
2302345	2304126	-	ACL76294.1	aspartyl-tRNA synthetase	Ccel_1946	1782	593
416583	417557	+	ACL74750.1	ATP dependent DNA ligase	Ccel_0365	975	324
434437	435081	+	ACL74766.1	ATP phosphoribosyltransferase	Ccel_0381	645	214
295226	295933	+	ACL74653.1	"ATP synthase F0, A subunit"	Ccel_0266	708	235
296368	296853	+	ACL74655.1	"ATP synthase F0, B subunit"	Ccel_0268	486	161
295946	296176	+	ACL74654.1	"ATP synthase F0, C subunit"	Ccel_0267	231	76
297404	298921	+	ACL74657.1	"ATP synthase F1, alpha subunit"	Ccel_0270	1518	505
299963	301360	+	ACL74659.1	"ATP synthase F1, beta subunit"	Ccel_0272	1398	465
296853	297380	+	ACL74656.1	"ATP synthase F1, delta subunit"	Ccel_0269	528	175
301416	301820	+	ACL74660.1	"ATP synthase F1, epsilon subunit"	Ccel_0273	405	134
299020	299904	+	ACL74658.1	"ATP synthase F1, gamma subunit"	Ccel_0271	885	294
1632049	1632582	+	ACL75687.1	ATP:corrinoid adenosyltransferase BtuR/CobO/CobP	Ccel_1333	534	177
376518	377540	+	ACL74713.1	ATP:guanido phosphotransferase	Ccel_0326	1023	340
237978	239078	-	ACL74598.1	ATPase	Ccel_0211	1101	366
377562	379994	+	ACL74714.1	ATPase AAA-2 domain protein	Ccel_0327	2433	810
2478696	2481041	-	ACL76461.1	ATPase AAA-2 domain protein	Ccel_2116	2346	781
2054897	2055862	+	ACL76060.1	ATPase associated with various cellular activities AAA_3	Ccel_1709	966	321
3063933	3064877	-	ACL76866.1	ATPase associated with various cellular activities AAA_3	Ccel_2538	945	314
2405699	2407012	-	ACL76394.1	ATPase FliI/YscN	Ccel_2048	1314	437
337422	340148	+	ACL74681.1	"ATPase, P-type (transporting), HAD superfamily, subfamily IC"	Ccel_0294	2727	908
1290958	1293480	+	ACL75400.1	"ATPase, P-type (transporting), HAD superfamily, subfamily IC"	Ccel_1038	2523	840
2980408	2983017	+	ACL76794.1	"ATPase, P-type (transporting), HAD superfamily, subfamily IC"	Ccel_2465	2610	869
2418478	2418942	-	ACL76405.1	ATP-cone domain protein	Ccel_2059	465	154
931319	932614	+	ACL75189.1	"ATP-dependent Clp protease, ATP-binding subunit ClpX"	Ccel_0811	1296	431
930721	931305	+	ACL75188.1	"ATP-dependent Clp protease, proteolytic subunit ClpP"	Ccel_0810	585	194
424571	426928	+	ACL74758.1	ATP-dependent DNA helicase PcrA	Ccel_0373	2358	785
2233902	2235971	-	ACL76230.1	ATP-dependent DNA helicase RecG	Ccel_1882	2070	689
99447	101306	+	ACL74473.1	ATP-dependent metalloprotease FtsH	Ccel_0085	1860	619
2130871	2134320	-	ACL76126.1	ATP-dependent nuclease subunit B	Ccel_1775	3450	1149
3089763	3092102	-	ACL76896.1	ATP-dependent protease La	Ccel_2568	2340	779
2254559	2255419	-	ACL76246.1	ATP-NAD/AcoX kinase	Ccel_1898	861	286
