assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material
GCA_000214415.1,PRJNA51821,SAMN00713627,,representative genome,880724,2189,Methanotorris igneus Kol 5,strain=Kol 5,,latest,Complete Genome,Major,Full,5/23/11,ASM21441v1,US DOE Joint Genome Institute,GCF_000214415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/415/GCA_000214415.1_ASM21441v1,,assembly from type material
GCA_000091665.1,PRJNA102,SAMN02603984,,representative genome,243232,2190,Methanocaldococcus jannaschii DSM 2661,strain=DSM 2661,,latest,Complete Genome,Major,Full,12/22/99,ASM9166v1,TIGR,GCF_000091665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/665/GCA_000091665.1_ASM9166v1,,assembly from type material
GCA_000015825.1,PRJNA16330,SAMN02598365,,representative genome,368407,2198,Methanoculleus marisnigri JR1,strain=JR1,,latest,Complete Genome,Major,Full,2/16/07,ASM1582v1,DOE Joint Genome Institute,GCF_000015825.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/825/GCA_000015825.1_ASM1582v1,,assembly from type material
GCA_000275865.1,PRJNA52839,SAMN02256542,AGCO00000000.1,representative genome,28892,2201,Methanofollis liminatans DSM 4140,strain=DSM 4140,,latest,Chromosome,Major,Full,7/13/12,ASM27586v1,DOE Joint Genome Institute,GCF_000275865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/865/GCA_000275865.1_ASM27586v1,,assembly from type material
GCA_000013445.1,PRJNA13015,SAMN02598287,,representative genome,323259,2203,Methanospirillum hungatei JF-1,strain=JF-1,,latest,Complete Genome,Major,Full,2/17/06,ASM1344v1,DOE Joint Genome Institute,GCF_000013445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/445/GCA_000013445.1_ASM1344v1,,assembly from type material
GCA_000195895.1,PRJNA103,SAMN02598252,,na,269797,2208,Methanosarcina barkeri str. Fusaro,strain=Fusaro,,latest,Complete Genome,Major,Full,8/12/05,ASM19589v1,DOE Joint Genome Institute,GCF_000195895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/895/GCA_000195895.1_ASM19589v1,,
GCA_000969985.1,PRJNA230940,SAMN03074576,,na,1434109,2208,Methanosarcina barkeri str. Wiesmoor,strain=Wiesmoor,,latest,Complete Genome,Major,Full,4/7/15,ASM96998v1,University of Illinois at Urbana-Champaign,GCF_000969985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/985/GCA_000969985.1_ASM96998v1,,
GCA_000970025.1,PRJNA230939,SAMN03074575,,representative genome,1434108,2208,Methanosarcina barkeri MS,strain=MS,,latest,Complete Genome,Major,Full,4/7/15,ASM97002v1,University of Illinois at Urbana-Champaign,GCF_000970025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/025/GCA_000970025.1_ASM97002v1,,assembly from type material
GCA_000970065.1,PRJNA230937,SAMN03074573,,na,1434106,2208,Methanosarcina barkeri 227,strain=227,,latest,Complete Genome,Major,Full,4/7/15,ASM97006v1,University of Illinois at Urbana-Champaign,GCF_000970065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/065/GCA_000970065.1_ASM97006v1,,
GCA_000970305.1,PRJNA230938,SAMN03074574,,representative genome,1434107,2208,Methanosarcina barkeri 3,strain=3,,latest,Complete Genome,Major,Full,4/7/15,ASM97030v1,University of Illinois at Urbana-Champaign,GCF_000970305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/305/GCA_000970305.1_ASM97030v1,,
GCA_001027005.1,PRJNA49587,SAMN02866457,,na,796385,2208,Methanosarcina barkeri CM1,strain=CM1,,latest,Complete Genome,Major,Full,6/3/15,ASM102700v1,PGgRc,GCF_001027005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/005/GCA_001027005.1_ASM102700v1,,
GCA_000007065.1,PRJNA300,SAMN02603290,,na,192952,2209,Methanosarcina mazei Go1,strain=Go1,,latest,Complete Genome,Major,Full,5/20/02,ASM706v1,Gottingen Genomics Laboratory,GCF_000007065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/065/GCA_000007065.1_ASM706v1,,
GCA_000341715.1,PRJNA176295,SAMN02603746,,na,1236903,2209,Methanosarcina mazei Tuc01,strain=Tuc01,,latest,Complete Genome,Major,Full,2/22/13,ASM34171v1,Rede Paraense de Genomica e Proteomica,GCF_000341715.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/715/GCA_000341715.1_ASM34171v1,missing tRNA genes,
GCA_000970165.1,PRJNA230950,SAMN03074586,,na,1434117,2209,Methanosarcina mazei WWM610,strain=WWM610,,latest,Complete Genome,Major,Full,4/7/15,ASM97016v1,University of Illinois at Urbana-Champaign,GCF_000970165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/165/GCA_000970165.1_ASM97016v1,,
GCA_000970185.1,PRJNA230948,SAMN03074584,,na,1434115,2209,Methanosarcina mazei SarPi,strain=SarPi,,latest,Complete Genome,Major,Full,4/7/15,ASM97018v1,University of Illinois at Urbana-Champaign,GCF_000970185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/185/GCA_000970185.1_ASM97018v1,,
GCA_000970205.1,PRJNA230947,SAMN03074583,,representative genome,213585,2209,Methanosarcina mazei S-6,strain=S-6,,latest,Complete Genome,Major,Full,4/7/15,ASM97020v1,University of Illinois at Urbana-Champaign,GCF_000970205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/205/GCA_000970205.1_ASM97020v1,,assembly from type material
GCA_000970225.1,PRJNA230946,SAMN03074582,,na,1434114,2209,Methanosarcina mazei LYC,strain=LYC,,latest,Complete Genome,Major,Full,4/7/15,ASM97022v1,University of Illinois at Urbana-Champaign,GCF_000970225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/225/GCA_000970225.1_ASM97022v1,,
GCA_000970245.1,PRJNA230945,SAMN03074581,,na,1434113,2209,Methanosarcina mazei C16,strain=C16,,latest,Complete Genome,Major,Full,4/7/15,ASM97024v1,University of Illinois at Urbana-Champaign,GCF_000970245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/245/GCA_000970245.1_ASM97024v1,,assembly from synonym type material
GCA_005485005.1,PRJNA471916,SAMN09222529,,na,2209,2209,Methanosarcina mazei,strain=JL01,,latest,Chromosome,Major,Full,5/17/19,ASM548500v1,Centre for Genomic Regulation,GCF_005485005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/485/005/GCA_005485005.1_ASM548500v1,,
GCA_000969885.1,PRJNA230961,SAMN03074597,,representative genome,523844,2210,Methanosarcina thermophila TM-1,strain=TM-1,,latest,Complete Genome,Major,Full,4/7/15,ASM96988v1,University of Illinois at Urbana-Champaign,GCF_000969885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/885/GCA_000969885.1_ASM96988v1,,assembly from type material
GCA_000969925.1,PRJNA230959,SAMN03074595,,na,1434121,2210,Methanosarcina thermophila CHTI-55,strain=CHTI-55,,latest,Complete Genome,Major,Full,4/7/15,ASM96992v1,University of Illinois at Urbana-Champaign,GCF_000969925.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/925/GCA_000969925.1_ASM96992v1,,
GCA_003584605.1,PRJDB5067,SAMD00060421,,na,2210,2210,Methanosarcina thermophila,strain=MT-1,,latest,Complete Genome,Major,Full,12/7/16,ASM358460v1,Tokyo University of Pharmacy and Life Sciences,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/584/605/GCA_003584605.1_ASM358460v1,derived from environmental source,
GCA_000007345.1,PRJNA290,SAMN03081414,,representative genome,188937,2214,Methanosarcina acetivorans C2A,strain=C2A,,latest,Complete Genome,Major,Full,4/3/02,ASM734v1,Broad Institute,GCF_000007345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/345/GCA_000007345.1_ASM734v1,,assembly from type material
GCA_000969905.1,PRJNA230962,SAMN03074598,,representative genome,1434123,2215,Methanosarcina vacuolata Z-761,strain=Z-761,,latest,Complete Genome,Major,Full,4/7/15,ASM96990v1,University of Illinois at Urbana-Champaign,GCF_000969905.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/905/GCA_000969905.1_ASM96990v1,,assembly from type material
GCA_000204415.1,PRJNA63185,SAMN02604263,,representative genome,990316,2223,Methanothrix soehngenii GP6,strain=GP6,,latest,Complete Genome,Major,Full,4/15/11,ASM20441v1,University of Wisconsin-Parkside,GCF_000204415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/415/GCA_000204415.1_ASM20441v1,,assembly from synonym type material
GCA_000014945.1,PRJNA15765,SAMN02598350,,na,349307,2224,Methanothrix thermoacetophila PT,strain=PT,,latest,Complete Genome,Major,Full,10/25/06,ASM1494v1,US DOE Joint Genome Institute,GCF_000014945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/945/GCA_000014945.1_ASM1494v1,missing tRNA genes,assembly from synonym type material
GCA_000970325.1,PRJNA230935,SAMN03074571,,representative genome,1434104,2226,Methanococcoides methylutens MM1,strain=MM1,,latest,Complete Genome,Major,Full,4/7/15,ASM97032v1,University of Illinois at Urbana-Champaign,GCF_000970325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/325/GCA_000970325.1_ASM97032v1,,
GCA_000008665.1,PRJNA104,SAMN02603985,,representative genome,224325,2234,Archaeoglobus fulgidus DSM 4304,strain=DSM 4304,,latest,Complete Genome,Major,Full,12/22/99,ASM866v1,TIGR,GCF_000008665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/665/GCA_000008665.1_ASM866v1,,assembly from type material
GCA_000734035.1,PRJNA208006,SAMN03081472,,na,1344584,2234,Archaeoglobus fulgidus DSM 8774,strain=DSM 8774,,latest,Complete Genome,Major,Full,7/28/14,ASM73403v1,University Bergen,GCF_000734035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/035/GCA_000734035.1_ASM73403v1,,
GCA_000011085.1,PRJNA105,SAMN02603385,,na,272569,2238,Haloarcula marismortui ATCC 43049,strain=ATCC 43049,,latest,Complete Genome,Major,Full,11/2/04,ASM1108v1,Institute for Systems Biology,GCF_000011085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/085/GCA_000011085.1_ASM1108v1,,assembly from type material
GCA_005310945.1,PRJNA412908,SAMN11356379,,na,272569,2238,Haloarcula marismortui ATCC 43049,strain=ATCC 43049,,latest,Complete Genome,Major,Full,5/14/19,ASM531094v1,University of Maryland,GCF_005310945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/310/945/GCA_005310945.1_ASM531094v1,,assembly from type material
GCA_000006805.1,PRJNA217,SAMN02604216,,representative genome,64091,2242,Halobacterium salinarum NRC-1,strain=NRC-1; ATCC 700922,,latest,Complete Genome,Major,Full,1/9/01,ASM680v1,"University of Massachusetts-Amherst, University of Washington",GCF_000006805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/805/GCA_000006805.1_ASM680v1,,
GCA_000069025.1,PRJNA106,SAMEA3138275,,na,478009,2242,Halobacterium salinarum R1,strain=DSM 671 = R1,,latest,Complete Genome,Major,Full,2/12/08,ASM6902v1,Max Planck Institute,GCF_000069025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/025/GCA_000069025.1_ASM6902v1,,
GCA_004799605.1,PRJNA530823,SAMN11158145,,na,2242,2242,Halobacterium salinarum,strain=91-R6,,latest,Complete Genome,Major,Full,4/18/19,ASM479960v1,Max-Planck-Institute of Biochemistry,GCF_004799605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/799/605/GCA_004799605.1_ASM479960v1,,assembly from type material
GCA_000025685.1,PRJNA12524,SAMN02604027,,representative genome,309800,2246,Haloferax volcanii DS2,strain=DS2,,latest,Complete Genome,Major,Full,3/23/10,ASM2568v1,TIGR,GCF_000025685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/685/GCA_000025685.1_ASM2568v1,,assembly from type material
GCA_000022205.1,PRJNA18455,SAMN02598407,,representative genome,416348,2247,Halorubrum lacusprofundi ATCC 49239,strain=ATCC 49239,,latest,Complete Genome,Major,Full,2/4/09,ASM2220v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000022205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/205/GCA_000022205.1_ASM2220v1,,assembly from type material
GCA_000306765.2,PRJNA43185,SAMN02603397,,representative genome,523841,2252,Haloferax mediterranei ATCC 33500,strain=CGMCC 1.2087,,latest,Complete Genome,Major,Full,5/27/14,ASM30676v2,"Institute of Microbiology, Chinese Academy of Sciences",GCF_000306765.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/765/GCA_000306765.2_ASM30676v2,,assembly from type material
GCA_000685635.1,PRJNA238908,SAMN02724739,,na,523841,2252,Haloferax mediterranei ATCC 33500,strain=ATCC 33500,,latest,Chromosome,Major,Full,5/8/14,ASM68563v1,University of Alicante,GCF_000685635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/635/GCA_000685635.1_ASM68563v1,,assembly from type material
GCA_005406325.1,PRJNA412908,SAMN11356524,,na,523841,2252,Haloferax mediterranei ATCC 33500,strain=ATCC 33500,,latest,Complete Genome,Major,Full,5/16/19,ASM540632v1,University of Maryland,GCF_005406325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/406/325/GCA_005406325.1_ASM540632v1,,assembly from type material
GCA_000026045.1,PRJNA15742,SAMEA3138222,,representative genome,348780,2257,Natronomonas pharaonis DSM 2160,strain=Gabara,,latest,Complete Genome,Major,Full,9/28/05,ASM2604v1,Max Planck Institute,GCF_000026045.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/045/GCA_000026045.1_ASM2604v1,,assembly from type material
GCA_000007305.1,PRJNA287,SAMN02604284,,representative genome,186497,2261,Pyrococcus furiosus DSM 3638,strain=DSM 3638,,latest,Complete Genome,Major,Full,2/27/02,ASM730v1,Utah Genome Center,GCF_000007305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/305/GCA_000007305.1_ASM730v1,,assembly from type material
GCA_000275605.1,PRJNA163827,SAMN02603219,,na,1185654,2261,Pyrococcus furiosus COM1,strain=COM1,,latest,Complete Genome,Major,Full,6/29/12,ASM27560v1,ENIGMA- Ecosystems and Networks Integrated with Genes and Molecular Assemblies,GCF_000275605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/605/GCA_000275605.1_ASM27560v1,,
GCA_008245085.1,PRJNA382684,SAMN06711904,,na,186497,2261,Pyrococcus furiosus DSM 3638,strain=DSM 3638,,latest,Complete Genome,Major,Full,9/3/19,ASM824508v1,University Regensburg,GCF_008245085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/245/085/GCA_008245085.1_ASM824508v1,,assembly from type material
GCA_002214365.1,PRJNA274230,SAMN03324154,,representative genome,1293037,2264,Thermococcus celer Vu 13 = JCM 8558,strain=Vu 13,,latest,Complete Genome,Major,Full,7/5/17,ASM221436v1,Ecole Normale Superieure de Lyon,GCF_002214365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/365/GCA_002214365.1_ASM221436v1,,assembly from type material
GCA_000246985.3,PRJNA81925,SAMN02603679,,representative genome,523849,2265,Thermococcus litoralis DSM 5473,strain=DSM 5473,,latest,Complete Genome,Major,Full,8/13/13,ASM24698v3,"New England Biolabs, Inc.",GCF_000246985.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/985/GCA_000246985.3_ASM24698v3,,assembly from type material
GCA_000015225.1,PRJNA16331,SAMN02598366,,na,368408,2269,Thermofilum pendens Hrk 5,strain=Hrk 5,,latest,Complete Genome,Major,Full,12/18/06,ASM1522v1,DOE Joint Genome Institute,GCF_000015225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/225/GCA_000015225.1_ASM1522v1,,
GCA_000253055.1,PRJEA49419,SAMEA2272453,,na,768679,2271,Thermoproteus tenax Kra 1,strain=Kra 1,,latest,Complete Genome,Major,Full,10/6/11,ASM25305v1,"University of Duisburg-Essen, Faculty of Chemistry, Molecular Enzyme Technology and Biochemistry",GCF_000253055.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/055/GCA_000253055.1_ASM25305v1,,assembly from type material
GCA_000186365.1,PRJNA48641,SAMN00103627,,representative genome,765177,2275,Desulfurococcus mucosus DSM 2162,strain=DSM 2162,,latest,Complete Genome,Major,Full,1/20/11,ASM18636v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000186365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/365/GCA_000186365.1_ASM18636v1,,assembly from type material
GCA_000015205.1,PRJNA16743,SAMN02598374,,na,384616,2277,Pyrobaculum islandicum DSM 4184,strain=DSM 4184,,latest,Complete Genome,Major,Full,12/20/06,ASM1520v1,DOE Joint Genome Institute,GCF_000015205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/205/GCA_000015205.1_ASM1520v1,,assembly from type material
GCA_000015945.1,PRJNA17449,SAMN02598390,,na,399550,2280,Staphylothermus marinus F1,strain=F1,,latest,Complete Genome,Major,Full,2/21/07,ASM1594v1,US DOE Joint Genome Institute,GCF_000015945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/945/GCA_000015945.1_ASM1594v1,,assembly from type material
GCA_009729015.1,PRJNA488459,SAMN09933089,,na,2283,2283,Acidianus ambivalens,strain=LEI 10,,latest,Complete Genome,Major,Full,12/4/19,ASM972901v1,North Carolina State University,GCF_009729015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/729/015/GCA_009729015.1_ASM972901v1,,
GCA_000012285.1,PRJNA13935,SAMN02603173,,representative genome,330779,2285,Sulfolobus acidocaldarius DSM 639,strain=DSM 639,,latest,Complete Genome,Major,Full,7/5/05,ASM1228v1,Danish Archaea Centre,GCF_000012285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/285/GCA_000012285.1_ASM1228v1,,assembly from type material
GCA_000338775.1,PRJNA66535,SAMN02604153,,na,1028567,2285,Sulfolobus acidocaldarius Ron12/I,strain=Ron12/I,,latest,Complete Genome,Major,Full,2/8/13,ASM33877v1,University of Cincinnati,GCF_000338775.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/775/GCA_000338775.1_ASM33877v1,,
GCA_000340315.1,PRJNA66533,SAMN02604152,,na,1028566,2285,Sulfolobus acidocaldarius N8,strain=N8,,latest,Complete Genome,Major,Full,2/8/13,ASM34031v1,University of Cincinnati,GCF_000340315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/315/GCA_000340315.1_ASM34031v1,,
GCA_000508305.1,PRJNA231215,SAMN03081514,,na,1435377,2285,Sulfolobus acidocaldarius SUSAZ,strain=SUSAZ,,latest,Complete Genome,Major,Full,12/16/13,ASM50830v1,Center for Genomic Sciences,GCF_000508305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/305/GCA_000508305.1_ASM50830v1,genome length too small,
GCA_001481595.1,PRJNA304349,SAMN04305143,,na,2285,2285,Sulfolobus acidocaldarius,strain=GG12-C01-09,,latest,Chromosome,Major,Full,12/23/15,ASM148159v1,University of Illinois at Urbana-Champaign,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/595/GCA_001481595.1_ASM148159v1,missing rRNA genes,
GCA_001481635.1,PRJNA304349,SAMN04305174,,na,2285,2285,Sulfolobus acidocaldarius,strain=NG05B_CO5_07,,latest,Chromosome,Major,Full,12/23/15,ASM148163v1,University of Illinois at Urbana-Champaign,GCF_001481635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/635/GCA_001481635.1_ASM148163v1,,
GCA_002215405.1,PRJNA378849,SAMN06562953,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 18-5,,latest,Complete Genome,Major,Full,7/6/17,ASM221540v1,Harvard University,GCF_002215405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/405/GCA_002215405.1_ASM221540v1,,
GCA_002215445.1,PRJNA378849,SAMN06562952,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 20-20,,latest,Complete Genome,Major,Full,7/6/17,ASM221544v1,Harvard University,GCF_002215445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/445/GCA_002215445.1_ASM221544v1,,
GCA_002215485.1,PRJNA378849,SAMN06562951,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 16-22,,latest,Complete Genome,Major,Full,7/6/17,ASM221548v1,Harvard University,GCF_002215485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/485/GCA_002215485.1_ASM221548v1,,
GCA_002215525.1,PRJNA378849,SAMN06562950,,na,2285,2285,Sulfolobus acidocaldarius,strain=Y14 13-1,,latest,Complete Genome,Major,Full,7/6/17,ASM221552v1,Harvard University,GCF_002215525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/525/GCA_002215525.1_ASM221552v1,,
GCA_002215565.1,PRJNA378849,SAMN06562949,,na,2285,2285,Sulfolobus acidocaldarius,strain=DG1,,latest,Complete Genome,Major,Full,7/6/17,ASM221556v1,Harvard University,GCF_002215565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/565/GCA_002215565.1_ASM221556v1,,
GCA_000007005.1,PRJNA108,SAMN02603227,,na,273057,2287,Saccharolobus solfataricus P2,strain=P2,,latest,Complete Genome,Major,Full,11/25/02,ASM700v1,European/Canadian Consortium,GCF_000007005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/005/GCA_000007005.1_ASM700v1,,
GCA_000024745.1,PRJNA30989,SAMN00120218,,na,555311,2287,Saccharolobus solfataricus 98/2,strain=98/2,,latest,Complete Genome,Major,Full,10/20/09,ASM2474v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000024745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/745/GCA_000024745.1_ASM2474v1,,
GCA_000968355.2,PRJNA279939,SAMN03452281,,na,2287,2287,Saccharolobus solfataricus,strain=SARC-B,,latest,Complete Genome,Major,Full,10/25/18,ASM96835v2,University of Nebraska-Lincoln,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/355/GCA_000968355.2_ASM96835v2,missing tRNA genes,
